population of UK,
year, population
1086,1710000
1190,3100000
1220,3970000
1250,4230000
1279,4430000
1290,4750000
1315,4690000
1325,4120000
1348,4810000
1351,2600000
1377,2500000
1400,2080000
1430,2020000
1450,1900000
1490,2140000
1522,2350000
1541,2830000
1560,3200000
1600,4110000
1650,5310000
1700,5200000
1801,7754875
1811,8762178
1821,10402143
1831,12011830
1841,13654914
1851,15288885
1861,18325052
1871,21361235
1881,24397385
1891,27231229
1901,30072180
1911,33561235
1921,35230225
1931,37359045
1941,38084321
1951,38668830
1961,41159213
1971,43460525
1981,45978080
1991,48197672
2001,49138831
2011,53012456
